Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
39907776,"Kosodom (Żniwa śmierci, #2)",Neal Shusterman,"Shusterman, Neal",,"=""8380754611""","=""9788380754614""",5,4.39,Filia,Paperback,592,2018,2018,2023/12/14,2023/11/06,fav,fav (#9),read,,,,1,0
170639466,Odłączenie,Maiwenn Alix,"Alix, Maiwenn",,"=""8396273839""","=""9788396273833""",5,4.02,Widnokrąg,ebook,368,2022,,2023/12/30,2023/12/24,fav,fav (#8),read,5/5 ,true,,1,0
181437030,"Żniwo (Żniwa śmierci, #3)",Neal Shusterman,"Shusterman, Neal",Katarzyna Agnieszka Dyrek,"=""838318798X""","=""9788383187983""",5,4.17,Uroboros,Hardcover,672,2023,2019,2024/01/09,2024/01/02,fav,fav (#7),read,Arcydzieło ,,,1,0
122993384,"Jutro, jutro i znów jutro",Gabrielle Zevin,"Zevin, Gabrielle",Marta Faber,"=""8382028519""","=""9788382028515""",5,4.13,Zysk i S-ka,Paperback,512,2023,2022,2024/02/03,2023/09/12,fav,fav (#6),read,6/5 ,,,1,0
63067633,"Pamięć operacyjna (Prawdziwe życie, #2)",Maiwenn Alix,"Alix, Maiwenn",Paweł Łapiński,"=""""","=""""",5,4.22,Widnokrąg,Paperback,360,2022,,2024/03/20,2023/12/29,fav,fav (#5),read,6/5 ,,,1,0
174713110,Restart,Maiwenn Alix,"Alix, Maiwenn",,"=""8396691673""","=""9788396691675""",5,4.47,Widnokrąg,Paperback,552,,,2024/04/01,2023/12/29,fav,fav (#4),read,"6/5<br/>Dojebany plot twist (chociaż wolałbym żeby system nie został przedstawiony ponownie tak utopijnie), szkoda że to tylko trylogia ale wydaje mi się że temat został wyczerpany. Najlepiej wydane pieniądze w moim życiu. ",true,,1,0
158403210,The Girl in Question,Tess Sharpe,"Sharpe, Tess",,"=""0316574910""","=""9780316574914""",0,4.32,"Little, Brown Books for Young Readers",Hardcover,416,2024,2024,,2024/08/22,to-read,to-read (#23),to-read,,,,0,0
57375365,Battle Royale,Koushun Takami,"Takami, Koushun","Ula Knap, Maciej Kamuda","=""8377313626""","=""9788377313626""",5,4.26,Vesper,Hardcover,772,2021,1999,2024/06/11,2024/05/17,fav,fav (#3),read,5.5/5 ,,,1,0
157096574,Nic tylko pył,Shaun David Hutchinson,"Hutchinson, Shaun David",Agnieszka Myśliwy,"=""8324088571""","=""9788324088577""",5,4.11,Odyssey YA,Paperback,400,2023,2016,2024/07/23,2024/03/19,fav,fav (#2),read,4.75/5 ponieważ NIE DOSTALIŚMY ZAKOŃCZENIA O HUJ CHODZI Z TYM GUZIKIEM? <br/>WHERE POMROWY? ,,,1,0
34600598,"Problem trzech ciał (Wspomnienie o przeszłości Ziemi, #1)",Liu Cixin,"Cixin, Liu",Andrzej Jankowski,"=""8380627989""","=""9788380627987""",5,4.08,Dom Wydawniczy Rebis,ebook,456,2017,2006,2024/08/22,2024/03/26,fav,fav (#1),read,6/5 ,,,1,0
35432446,"Ciemny las (Wspomnienie o przeszłości Ziemi, #2)",Liu Cixin,"Cixin, Liu",Andrzej Jankowski,"=""838062050X""","=""9788380620506""",0,4.41,Dom Wydawniczy Rebis,Paperback,672,2017,2008,,2024/05/28,currently-reading,currently-reading (#1),currently-reading,,,,1,0
51138403,"Złodziej Dusz (Heksalogia o Wiedźmie, #1)",Aneta Jadowska,"Jadowska, Aneta",Magdalena Babińska,"=""8381297117""","=""9788381297110""",5,3.61,Wydawnictwo SQN,Paperback,455,2020,2012,2024/07/11,2023/12/25,,,read,5/5 ,,,1,0
157874871,Bogowie muszą być szaleni,Aneta Jadowska,"Jadowska, Aneta",Magdalena Babińska,"=""8382109497""","=""9788382109498""",2,3.38,Sine Qua Non,Paperback,464,2023,2013,2024/08/06,2024/07/24,,,read,"Tytuł giga reluje z fabułą, 2.2/5 ponieważ miejscami już nie potrafiłem czytać jak to oni bardzo chcą się ruchać ale nie mogą. ",,,1,0
61745147,Zabójstwo Rogera Ackroyda,Agatha Christie,"Christie, Agatha",,"=""8327163124""","=""9788327163127""",5,4.27,Dolnośląskie,Hardcover,280,2022,1926,2024/07/16,2024/06/27,,,read,6/5 bo znalazłem tego gagatka przed Poirotem ,,,1,0
56816335,Niewidzialne życie Addie LaRue,Victoria E. Schwab,"Schwab, Victoria E.",Maciej Studencki,"=""8366657310""","=""9788366657311""",5,4.17,We need YA,Hardcover,608,2021,2020,2024/07/03,2024/05/17,,,read,5.5/5 ,,,1,0
205564382,Upgrade. Wyższy poziom,Blake Crouch,"Crouch, Blake",Paweł Wieczorek,"=""8382029582""","=""9788382029581""",0,3.81,Zysk i S-ka,Paperback,356,2024,2022,,2024/06/29,to-read,to-read (#22),to-read,,,,0,0
